image_id,center_lng,center_lat,nadir_lng,nadir_lat,corner1_lng,corner1_lat,corner2_lng,corner2_lat,corner3_lng,corner3_lat,corner4_lng,corner4_lat,altitude,lens_size,frame_width,frame_height,taken_utc,mission_name,spacecraft,camera_dir,orbit_num,image_page,image_link,kml_link,schools
"52586","-69.6412","82.3138","-71.1602","85.5572","-62.964","84.5822","-80.9328","84.1408","","","","","57.013","6","0.000","54.920","2012-04-05 01:24:22","MoonKAM Live","Ebb","forward","1269"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=26692","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=26693","","Harwich Middle School"
"52587","-67.2381242","80.329053","-67.0676756","83.5515644","-61.6780856","82.553355","-75.0566858","82.2278208","","","","","56.606","6","0.000","54.477","2012-04-05 01:25:00.698","MoonKAM Live","Ebb","forward","1269"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=26696","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=26697","","Poly Prep"
"52588","-65.8537188","78.6213332","-65.177722","81.8206704","-61.0288968","80.81529","-71.9585156","80.5506156","","","","","56.256","6","0.000","54.157","2012-04-05 01:25:33.804","MoonKAM Live","Ebb","forward","1269"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=26700","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=26701","","Park Middle School"
"52589","-63.1241","72.5409","-62.1446","75.6562","-59.8953","74.6523","-66.434","74.4949","","","","","55.014","6","0.000","52.917","2012-04-05 01:27:31","MoonKAM Live","Ebb","forward","1269"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=26704","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=26705","","Prairie HS"
"52590","-61.0505","60.6383","-60.2886","63.6029","-59.116","62.6308","-62.7363","62.5446","","","","","52.622","6","0.000","50.591","2012-04-05 01:31:19","MoonKAM Live","Ebb","forward","1269"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=26708","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=26709","","Zespol Szkol nr 10"
"52591","-60.2639","50.5695","-59.6526","53.4199","-58.8148","52.4791","-61.4512","52.4181","","","","","50.706","6","0.000","48.745","2012-04-05 01:34:31","MoonKAM Live","Ebb","forward","1269"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=26712","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=26713","","Poinciana Elementary School"
"52592","-60.2577","50.4645","-59.6478","53.3137","-58.8124","52.3733","-61.4416","52.3123","","","","","50.686","6","0.000","48.729","2012-04-05 01:34:33","MoonKAM Live","Ebb","forward","1269"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=26716","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=26717","","Rockvale Elementary "
"52594","-59.471195","30.703677","-59.023343","33.366529","-58.465704","32.482103","-60.248473","32.443103","","","","","47.447","6","0.000","45.617","2012-04-05 01:40:47.87","MoonKAM Live","Ebb","forward","1269"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=26720","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=26721","","Knowledge beginnings"
"52595","-59.2818","23.071","-58.868","25.6792","-58.3616","24.8114","-59.9838","24.7766","","","","","46.443","6","0.000","44.658","2012-04-05 01:43:12","MoonKAM Live","Ebb","forward","1269"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=26724","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=26725","","Zespol Szkol nr 10"
"52596","-59.24981","21.621775","-58.840675","24.220045","-58.3424725","23.3549775","-59.94108","23.32191","","","","","46.271","6","0.000","44.510","2012-04-05 01:43:39.325","MoonKAM Live","Ebb","forward","1269"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=26728","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=26729","","Gimnazjum No 2"
